Inputs,,,Outputs - Identities,,,Outputs - Commutative,,,,Outputs - Associative,,,,Outputs - Distributions,,,,Outputs - D'Morgan's Laws,,,
,,,,,,a + b = b + a,,a * b = b * a,,a + (b + c) = (a + b) + c,,a + (b*c) = (a + b) * (a + c),,a * (b + c) = (a + b) + c,,a * (b*c) = (a + b) * (a + c),,(a * b)' = a' + b',,(a + b)' = a' * b',
a,b,c,a + 0 = a,a * 1 = a,(a')' = a,a + b,b + a,a * b,b * a,a + (b + c),(a + b) + c,a + (b*c),(a + b) * (a + c),a * (b + c),(a + b) + c,a * (b*c),(a + b) * (a + c),(a * b)',a' + b',(a + b)',a' * b'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0
0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0
0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
